sep=|
Time|AverageHunger|Individuals|Females|Males
15,00039|1,161779|45|23|22
30,00291|1,161779|45|23|22
45,00308|1,161779|45|23|22
60,00624|1,142834|47|25|22
75,00979|1,155664|55|27|28
90,01453|1,152611|73|38|35
105,0149|1,151471|75|38|37
120,0167|1,153605|74|38|36
135,0181|1,155271|74|39|35
150,0184|1,138733|77|42|35
165,0213|1,145499|68|35|33
180,0218|1,151745|70|37|33
195,0264|1,149506|78|42|36
210,0273|1,1449|77|39|38
225,028|1,129374|91|43|48
240,03|1,116351|94|45|49
255,033|1,117666|94|47|47
270,0356|1,118066|93|45|48
285,0404|1,12393|95|47|48
300,0409|1,12485|91|47|44
315,0438|1,126301|85|44|41
330,0489|1,124259|96|48|48
345,0535|1,128876|101|55|46
360,0576|1,138261|105|61|44
375,0623|1,151332|108|58|50
390,0665|1,147385|101|54|47
405,069|1,133718|95|48|47
420,0706|1,133972|101|53|48
435,072|1,122935|109|56|53
450,0768|1,117028|105|55|50
465,0792|1,103995|119|61|58
480,0805|1,093801|122|58|64
495,0811|1,091655|123|60|63
510,0846|1,09399|129|60|69
525,084|1,089926|133|62|71
540,0851|1,092524|127|61|66
555,0853|1,076666|154|68|86
570,0862|1,083835|152|69|83
585,0883|1,093166|160|73|87
600,088|1,097662|151|70|81
615,0895|1,099693|132|60|72
630,091|1,09896|114|48|66
645,0948|1,067627|86|36|50
660,0966|1,063319|66|31|35
675,0999|1,034137|57|27|30
690,0994|1,046973|60|30|30
705,1016|1,031103|63|28|35
720,103|1,0122|63|28|35
735,1056|1,004412|63|27|36
750,105|1,000377|69|31|38
765,1072|1,008612|71|32|39
780,1089|1,018735|78|32|46
795,1112|1,019557|91|39|52
810,1146|1,016875|92|39|53
825,1164|1,023623|101|44|57
840,1174|1,032647|110|50|60
855,1207|1,035457|118|58|60
870,1247|1,027174|134|63|71
885,1258|1,024491|139|66|73
900,1304|1,020525|146|70|76
915,1376|1,010891|176|86|90
930,1395|1,01844|193|91|102
945,1453|1,013681|211|102|109
960,152|1,009314|230|112|118
975,1555|1,007021|266|123|143
990,1624|1,007795|298|139|159
1005,169|1,008503|324|155|169
1020,173|1,005401|358|172|186
1035,173|0,9976966|390|192|198
1050,177|1,00122|440|218|222
1065,184|1,002192|485|238|247
1080,183|1,002439|515|259|256
1095,189|1,002085|550|277|273
1110,198|0,999415|577|296|281
1125,199|1,002113|598|309|289
1140,213|0,9957376|619|326|293
1155,229|0,9915588|690|359|331
1170,244|0,9905499|734|371|363
1185,256|0,9861774|802|402|400
1200,27|0,9864261|845|429|416
1215,275|0,9884996|941|471|470
1230,28|0,9886107|1038|525|513
1245,297|0,9880267|1159|586|573
1260,317|0,9878142|1289|647|642
1275,333|0,9848742|1466|744|722
1290,357|0,98636|1673|856|817
1305,389|0,9860009|1882|966|916
1320,395|0,9836912|2064|1074|990
1335,411|0,9796139|2204|1142|1062
1350,451|0,9751024|2374|1226|1148
1365,494|0,9723134|2542|1310|1232
1380,54|0,9722162|2786|1435|1351
1395,58|0,9690396|2989|1540|1449
1410,635|0,9677488|3217|1650|1567
1425,661|0,9662596|3408|1742|1666
1440,671|0,9658967|3566|1822|1744
1455,72|0,9636851|3642|1864|1778
