sep=|
Time|AverageSight|Individuals|Females|Males
15,00039|2,740416|45|23|22
30,00291|2,740416|45|23|22
45,00308|2,740416|45|23|22
60,00624|2,748688|47|25|22
75,00979|2,772437|55|27|28
90,01453|2,847618|73|38|35
105,0149|2,829819|75|38|37
120,0167|2,84041|74|38|36
135,0181|2,847808|74|39|35
150,0184|2,855006|77|42|35
165,0213|2,82501|68|35|33
180,0218|2,853575|70|37|33
195,0264|2,862294|78|42|36
210,0273|2,833695|77|39|38
225,028|2,85517|91|43|48
240,03|2,811205|94|45|49
255,033|2,861981|94|47|47
270,0356|2,862273|93|45|48
285,0404|2,889303|95|47|48
300,0409|2,882525|91|47|44
315,0438|2,872943|85|44|41
330,0489|2,959476|96|48|48
345,0535|2,970511|101|55|46
360,0576|3,000064|105|61|44
375,0623|3,024941|108|58|50
390,0665|3,00662|101|54|47
405,069|2,962098|95|48|47
420,0706|2,952076|101|53|48
435,072|2,922053|109|56|53
450,0768|2,915938|105|55|50
465,0792|2,973835|119|61|58
480,0805|2,951846|122|58|64
495,0811|2,954661|123|60|63
510,0846|2,976832|129|60|69
525,084|2,938862|133|62|71
540,0851|3,010087|127|61|66
555,0853|3,032076|154|68|86
570,0862|3,080588|152|69|83
585,0883|3,057292|160|73|87
600,088|3,072465|151|70|81
615,0895|3,066887|132|60|72
630,091|3,117727|114|48|66
645,0948|3,071963|86|36|50
660,0966|3,086689|66|31|35
675,0999|3,150906|57|27|30
690,0994|3,117472|60|30|30
705,1016|3,204238|63|28|35
720,103|3,190831|63|28|35
735,1056|3,209718|63|27|36
750,105|3,131006|69|31|38
765,1072|3,162689|71|32|39
780,1089|3,143193|78|32|46
795,1112|3,117491|91|39|52
810,1146|3,167588|92|39|53
825,1164|3,198648|101|44|57
840,1174|3,14934|110|50|60
855,1207|3,146336|118|58|60
870,1247|3,10672|134|63|71
885,1258|3,125253|139|66|73
900,1304|3,168599|146|70|76
915,1376|3,14696|176|86|90
930,1395|3,162166|193|91|102
945,1453|3,148154|211|102|109
960,152|3,132074|230|112|118
975,1555|3,12989|266|123|143
990,1624|3,151798|298|139|159
1005,169|3,181895|324|155|169
1020,173|3,173495|358|172|186
1035,173|3,188509|390|192|198
1050,177|3,229697|440|218|222
1065,184|3,245065|485|238|247
1080,183|3,275736|515|259|256
1095,189|3,300057|550|277|273
1110,198|3,321377|577|296|281
1125,199|3,362841|598|309|289
1140,213|3,375672|619|326|293
1155,229|3,379554|690|359|331
1170,244|3,413527|734|371|363
1185,256|3,428066|802|402|400
1200,27|3,478443|845|429|416
1215,275|3,489453|941|471|470
1230,28|3,481236|1038|525|513
1245,297|3,502638|1159|586|573
1260,317|3,529896|1289|647|642
1275,333|3,521416|1466|744|722
1290,357|3,5206|1673|856|817
1305,389|3,519723|1882|966|916
1320,395|3,52532|2064|1074|990
1335,411|3,537121|2204|1142|1062
1350,451|3,505331|2374|1226|1148
1365,494|3,493429|2542|1310|1232
1380,54|3,494103|2786|1435|1351
1395,58|3,468959|2989|1540|1449
1410,635|3,467629|3217|1650|1567
1425,661|3,468185|3408|1742|1666
1440,671|3,463305|3566|1822|1744
1455,72|3,467345|3642|1864|1778
1470,788|3,470995|3809|1942|1867
1485,846|3,460179|4020|2066|1954
1500,928|3,435637|4235|2150|2085
1515,946|3,420687|4443|2267|2176
1530,947|3,406025|4619|2383|2236
1546,002|3,409638|4704|2423|2281
1561,082|3,410158|4740|2435|2305
1576,096|3,41041|4786|2483|2303
1591,131|3,407887|4929|2555|2374
1606,192|3,406393|4996|2563|2433
1621,237|3,391719|5159|2662|2497
1636,293|3,38169|5296|2747|2549
1651,35|3,38327|5418|2829|2589
1666,382|3,37991|5482|2824|2658
1681,5|3,368897|5488|2804|2684
1696,596|3,370733|5578|2870|2708
1711,64|3,364991|5614|2873|2741
1726,667|3,362328|5734|2925|2809
1741,67|3,351834|5911|3013|2898
1756,791|3,337799|6074|3094|2980
1771,793|3,332374|6188|3182|3006
1786,882|3,333095|6242|3212|3030
1801,987|3,328815|6282|3221|3061
1817,097|3,317174|6379|3284|3095
1832,17|3,307323|6433|3326|3107
1847,287|3,305121|6574|3419|3155
1862,384|3,296651|6610|3432|3178
1877,497|3,289931|6837|3566|3271
1892,52|3,290877|7024|3645|3379
1907,615|3,288195|7087|3644|3443
1922,622|3,287426|7064|3648|3416
