sep=|
Time|AverageSpeed|Individuals|Females|Males
15,00039|0,7035036|45|23|22
30,00291|0,7035036|45|23|22
45,00308|0,7035036|45|23|22
60,00624|0,7120565|47|25|22
75,00979|0,7032539|55|27|28
90,01453|0,6999043|73|38|35
105,0149|0,6932704|75|38|37
120,0167|0,6918255|74|38|36
135,0181|0,6931758|74|39|35
150,0184|0,6894805|77|42|35
165,0213|0,6889046|68|35|33
180,0218|0,6794559|70|37|33
195,0264|0,6906531|78|42|36
210,0273|0,6962581|77|39|38
225,028|0,6898961|91|43|48
240,03|0,6993521|94|45|49
255,033|0,7131858|94|47|47
270,0356|0,7137514|93|45|48
285,0404|0,7100252|95|47|48
300,0409|0,7180139|91|47|44
315,0438|0,7191808|85|44|41
330,0489|0,7216768|96|48|48
345,0535|0,7373267|101|55|46
360,0576|0,7435312|105|61|44
375,0623|0,7246312|108|58|50
390,0665|0,7295727|101|54|47
405,069|0,7372547|95|48|47
420,0706|0,7501642|101|53|48
435,072|0,7597382|109|56|53
450,0768|0,766694|105|55|50
465,0792|0,7691622|119|61|58
480,0805|0,7726172|122|58|64
495,0811|0,7738926|123|60|63
510,0846|0,7699023|129|60|69
525,084|0,7765925|133|62|71
540,0851|0,7742112|127|61|66
555,0853|0,7687699|154|68|86
570,0862|0,7647012|152|69|83
585,0883|0,7735769|160|73|87
600,088|0,7725152|151|70|81
615,0895|0,7696399|132|60|72
630,091|0,7585404|114|48|66
645,0948|0,7777985|86|36|50
660,0966|0,7818246|66|31|35
675,0999|0,7934728|57|27|30
690,0994|0,7954275|60|30|30
705,1016|0,787275|63|28|35
720,103|0,7936428|63|28|35
735,1056|0,7925202|63|27|36
750,105|0,8107952|69|31|38
765,1072|0,8133076|71|32|39
780,1089|0,8028225|78|32|46
795,1112|0,8096305|91|39|52
810,1146|0,804085|92|39|53
825,1164|0,7992859|101|44|57
840,1174|0,8093796|110|50|60
855,1207|0,8145077|118|58|60
870,1247|0,820761|134|63|71
885,1258|0,8212058|139|66|73
900,1304|0,8175328|146|70|76
