sep=|
Time|AverageThirst|Individuals|Females|Males
15,00039|1,19805|45|23|22
30,00291|1,19805|45|23|22
45,00308|1,19805|45|23|22
60,00624|1,205257|47|25|22
75,00979|1,207433|55|27|28
90,01453|1,230679|73|38|35
105,0149|1,24187|75|38|37
120,0167|1,240179|74|38|36
135,0181|1,241274|74|39|35
150,0184|1,235429|77|42|35
165,0213|1,231653|68|35|33
180,0218|1,217098|70|37|33
195,0264|1,220428|78|42|36
210,0273|1,213272|77|39|38
225,028|1,205382|91|43|48
240,03|1,213207|94|45|49
255,033|1,209244|94|47|47
270,0356|1,212843|93|45|48
285,0404|1,211627|95|47|48
300,0409|1,2143|91|47|44
315,0438|1,225541|85|44|41
330,0489|1,225117|96|48|48
345,0535|1,226256|101|55|46
360,0576|1,224314|105|61|44
375,0623|1,223329|108|58|50
390,0665|1,227743|101|54|47
405,069|1,237611|95|48|47
420,0706|1,241961|101|53|48
435,072|1,268007|109|56|53
450,0768|1,26803|105|55|50
465,0792|1,288978|119|61|58
480,0805|1,297917|122|58|64
495,0811|1,294861|123|60|63
510,0846|1,287125|129|60|69
525,084|1,296497|133|62|71
540,0851|1,301524|127|61|66
555,0853|1,300779|154|68|86
570,0862|1,287869|152|69|83
585,0883|1,268408|160|73|87
600,088|1,268385|151|70|81
615,0895|1,277008|132|60|72
630,091|1,289462|114|48|66
645,0948|1,315187|86|36|50
660,0966|1,323437|66|31|35
675,0999|1,330395|57|27|30
690,0994|1,304742|60|30|30
705,1016|1,323749|63|28|35
720,103|1,333733|63|28|35
735,1056|1,361395|63|27|36
750,105|1,372781|69|31|38
765,1072|1,384886|71|32|39
780,1089|1,391333|78|32|46
795,1112|1,380631|91|39|52
810,1146|1,360816|92|39|53
825,1164|1,34906|101|44|57
840,1174|1,361758|110|50|60
855,1207|1,371007|118|58|60
870,1247|1,379179|134|63|71
885,1258|1,372911|139|66|73
900,1304|1,368085|146|70|76
915,1376|1,36477|176|86|90
930,1395|1,370426|193|91|102
945,1453|1,36728|211|102|109
960,152|1,369577|230|112|118
975,1555|1,366536|266|123|143
990,1624|1,363942|298|139|159
1005,169|1,359285|324|155|169
1020,173|1,35444|358|172|186
1035,173|1,350352|390|192|198
1050,177|1,345521|440|218|222
1065,184|1,338207|485|238|247
1080,183|1,34027|515|259|256
1095,189|1,333836|550|277|273
1110,198|1,324284|577|296|281
1125,199|1,309593|598|309|289
1140,213|1,312856|619|326|293
1155,229|1,311764|690|359|331
1170,244|1,305724|734|371|363
1185,256|1,300949|802|402|400
1200,27|1,293911|845|429|416
1215,275|1,288019|941|471|470
1230,28|1,280372|1038|525|513
1245,297|1,267629|1159|586|573
1260,317|1,267667|1289|647|642
1275,333|1,274425|1466|744|722
1290,357|1,275414|1673|856|817
1305,389|1,27259|1882|966|916
1320,395|1,270521|2064|1074|990
1335,411|1,265743|2204|1142|1062
1350,451|1,266689|2374|1226|1148
1365,494|1,270546|2542|1310|1232
1380,54|1,270305|2786|1435|1351
1395,58|1,270319|2989|1540|1449
1410,635|1,269974|3217|1650|1567
1425,661|1,269666|3408|1742|1666
1440,671|1,271773|3566|1822|1744
1455,72|1,270511|3642|1864|1778
1470,788|1,271674|3809|1942|1867
1485,846|1,269484|4020|2066|1954
1500,928|1,269392|4235|2150|2085
1515,946|1,271052|4443|2267|2176
1530,947|1,26947|4619|2383|2236
1546,002|1,273056|4704|2423|2281
1561,082|1,271748|4740|2435|2305
1576,096|1,272997|4786|2483|2303
1591,131|1,270336|4929|2555|2374
1606,192|1,269823|4996|2563|2433
1621,237|1,270356|5159|2662|2497
1636,293|1,270033|5296|2747|2549
1651,35|1,264797|5418|2829|2589
1666,382|1,267704|5482|2824|2658
1681,5|1,268686|5488|2804|2684
1696,596|1,265448|5578|2870|2708
1711,64|1,2652|5614|2873|2741
1726,667|1,259776|5734|2925|2809
1741,67|1,26239|5911|3013|2898
1756,791|1,265531|6074|3094|2980
1771,793|1,269125|6188|3182|3006
1786,882|1,273324|6242|3212|3030
1801,987|1,272367|6282|3221|3061
1817,097|1,275254|6379|3284|3095
1832,17|1,275168|6433|3326|3107
1847,287|1,272045|6574|3419|3155
1862,384|1,274258|6610|3432|3178
1877,497|1,275861|6837|3566|3271
1892,52|1,278145|7024|3645|3379
1907,615|1,278385|7087|3644|3443
1922,622|1,276271|7064|3648|3416
1937,775|1,272739|7122|3676|3446
1952,863|1,271119|7137|3711|3426
1968,025|1,266276|7250|3750|3500
1983,109|1,264749|7160|3704|3456
1998,177|1,264294|7182|3689|3493
2013,351|1,265617|7176|3660|3516
2028,361|1,265811|7089|3614|3475
2043,38|1,266067|7068|3615|3453
2058,531|1,264017|7140|3688|3452
2073,532|1,264158|7300|3755|3545
2088,566|1,259573|7368|3814|3554
2103,578|1,263354|7510|3882|3628
2118,695|1,264497|7672|3966|3706
2133,849|1,263425|7663|3983|3680
2149,033|1,26635|7595|3900|3695
2164,239|1,26641|7609|3924|3685
2179,417|1,269752|7701|3979|3722
2194,482|1,269869|7784|4019|3765
2209,631|1,269885|7777|4013|3764
2224,847|1,271663|7841|4070|3771
2239,921|1,270105|7869|4068|3801
2254,948|1,272616|7828|4014|3814
2270,108|1,270565|7687|3905|3782
2285,23|1,268215|7636|3916|3720
2300,371|1,265536|7628|3929|3699
2315,425|1,264254|7657|3923|3734
2330,435|1,265586|7703|3946|3757
