sep=|
TIME|BUFF_UP|BUFF_DOWN|SPEED_UP|SIGHt_UP|INDEPENDENT|GESTATION_UP|ATTRACTIVENESS_UP
15,00039|0|0|0|0|0|0|0
30,00291|0|0|0|0|0|0|0
45,00308|0|0|0|0|0|0|0
60,00624|0|1|1|2|0|1|0
75,00979|0|2|3|5|1|7|0
90,01453|5|4|7|10|3|8|0
105,0149|6|5|8|13|5|10|0
120,0167|6|5|8|13|5|10|0
135,0181|6|6|8|13|5|10|0
150,0184|7|6|8|15|7|11|0
165,0213|8|6|8|17|8|11|0
180,0218|9|6|9|18|8|15|0
195,0264|12|9|12|22|8|16|0
210,0273|14|9|13|25|8|17|0
225,028|15|13|13|30|13|18|0
240,03|15|14|13|31|18|20|0
255,033|17|16|14|36|18|21|0
270,0356|17|17|14|37|19|22|0
285,0404|17|19|16|39|22|24|0
300,0409|19|20|17|39|25|25|0
315,0438|19|20|18|39|26|25|0
330,0489|19|23|18|46|28|31|0
345,0535|20|25|20|52|31|33|0
360,0576|23|26|20|57|31|33|0
375,0623|24|30|20|59|34|36|0
390,0665|27|32|20|60|35|38|0
405,069|27|32|22|63|35|39|0
420,0706|28|34|26|67|38|39|0
435,072|28|34|29|74|41|43|0
450,0768|29|34|29|75|41|44|0
465,0792|31|35|30|86|45|46|0
480,0805|32|37|31|89|47|48|0
495,0811|32|38|32|93|50|48|0
510,0846|33|40|35|94|52|50|0
525,084|34|42|36|100|55|53|0
540,0851|34|44|38|103|57|56|0
555,0853|39|47|44|117|60|62|0
570,0862|42|49|45|124|60|63|0
585,0883|48|52|47|129|62|65|0
600,088|49|55|47|130|62|66|0
615,0895|50|55|49|130|62|66|0
630,091|51|56|49|132|62|67|0
645,0948|51|56|49|133|63|67|0
660,0966|51|56|50|134|65|68|0
675,0999|52|57|51|138|67|69|0
690,0994|52|58|52|139|71|70|0
705,1016|52|60|52|142|74|70|0
720,103|52|62|53|143|74|72|0
735,1056|52|62|54|145|75|72|0
750,105|52|64|56|148|76|73|0
765,1072|52|64|56|151|78|74|0
780,1089|53|67|59|155|78|74|0
795,1112|54|70|64|158|80|76|0
810,1146|55|71|66|160|80|78|0
825,1164|55|72|72|162|82|79|0
840,1174|57|74|76|167|83|79|0
855,1207|59|76|76|171|85|79|0
870,1247|60|80|82|175|89|83|0
885,1258|61|81|83|178|91|85|0
900,1304|61|82|86|183|93|87|0
915,1376|65|88|93|192|97|91|0
930,1395|67|91|95|201|102|94|0
945,1453|68|94|100|214|107|98|0
960,152|69|96|107|218|108|108|0
975,1555|75|102|115|226|114|116|0
990,1624|77|110|120|240|120|119|0
1005,169|79|115|128|253|125|125|0
1020,173|85|124|139|267|131|131|0
1035,173|88|132|146|276|139|141|0
1050,177|95|141|158|293|150|150|0
1065,184|103|150|167|309|162|161|0
1080,183|112|158|172|320|171|173|0
1095,189|120|169|181|338|181|180|0
1110,198|124|177|189|356|199|186|0
1125,199|131|192|206|368|205|199|0
1140,213|137|201|215|383|217|207|0
1155,229|147|216|241|422|230|222|0
1170,244|153|223|256|454|240|241|0
1185,256|168|246|283|485|255|257|0
1200,27|177|261|303|516|266|269|0
1215,275|192|287|320|552|287|282|0
1230,28|203|303|345|589|310|303|0
1245,297|225|330|368|639|329|330|0
1260,317|248|345|393|697|352|353|0
1275,333|272|373|434|762|390|380|0
1290,357|294|425|464|838|426|431|0
1305,389|320|470|502|933|467|463|0
1320,395|341|516|544|1010|521|489|0
1335,411|367|567|577|1093|552|530|0
1350,451|394|623|646|1182|598|562|0
1365,494|422|669|705|1279|640|611|0
1380,54|462|720|762|1417|697|687|0
1395,58|502|784|823|1560|766|739|0
1410,635|545|858|883|1693|845|804|0
1425,661|589|935|954|1819|910|863|0
1440,671|632|1008|1024|1948|967|922|0
1455,72|668|1072|1080|2070|1035|980|0
