sep=|
TIME|BUFF_UP|BUFF_DOWN|SPEED_UP|SIGHt_UP|INDEPENDENT|GESTATION_UP|ATTRACTIVENESS_UP
15,0006|0|0|0|0|0|0|0
30,00429|0|0|0|0|0|0|0
45,00583|0|0|0|0|0|0|0
60,00922|0|0|0|0|0|0|0
75,01025|0|0|0|0|6|0|0
90,01293|0|0|0|0|17|0|0
105,0169|0|0|0|0|23|0|0
120,0172|0|0|0|0|23|0|0
135,0248|0|0|0|0|28|0|0
150,0285|0|0|0|0|32|0|0
165,0307|0|0|0|0|41|0|0
180,032|0|0|0|0|52|0|0
195,0319|0|0|0|0|57|0|0
210,0341|0|0|0|0|60|0|0
225,0384|0|0|0|0|64|0|0
240,0404|0|0|0|0|80|0|0
255,0411|0|0|0|0|90|0|0
270,0413|0|0|0|0|96|0|0
285,0444|0|0|0|0|107|0|0
300,0467|0|0|0|0|120|0|0
315,0479|0|0|0|0|144|0|0
330,0489|0|0|0|0|154|0|0
345,0524|0|0|0|0|159|0|0
360,0553|0|0|0|0|165|0|0
375,0573|0|0|0|0|173|0|0
390,0616|0|0|0|0|180|0|0
405,0667|0|0|0|0|187|0|0
420,07|0|0|0|0|201|0|0
435,0732|0|0|0|0|211|0|0
450,076|0|0|0|0|225|0|0
465,0791|0|0|0|0|237|0|0
480,0833|0|0|0|0|250|0|0
495,0885|0|0|0|0|265|0|0
510,0896|0|0|0|0|275|0|0
525,0919|0|0|0|0|280|0|0
540,0975|0|0|0|0|295|0|0
555,0974|0|0|0|0|306|0|0
570,1036|0|0|0|0|320|0|0
585,1041|0|0|0|0|336|0|0
600,1083|0|0|0|0|345|0|0
615,1096|0|0|0|0|357|0|0
