sep=|
TIME|BUFF_UP|BUFF_DOWN|SPEED_UP|SIGHt_UP|INDEPENDENT|GESTATION_UP|ATTRACTIVENESS_UP
15,00039|0|0|0|0|0|0|0
30,00291|0|0|0|0|0|0|0
45,00308|0|0|0|0|0|0|0
60,00624|0|0|0|0|0|0|0
75,00979|0|0|0|0|0|0|0
90,01453|0|0|0|0|0|0|0
105,0149|0|0|0|0|0|0|0
120,0167|0|0|0|0|0|0|0
135,0181|0|0|0|0|0|0|0
150,0184|0|0|0|0|0|0|0
165,0213|0|0|0|0|0|0|0
180,0218|0|0|0|0|0|0|0
195,0264|0|0|0|0|0|0|0
210,0273|1|0|1|2|1|0|0
225,028|1|0|1|2|1|0|0
240,03|1|0|1|2|1|0|0
255,033|1|0|1|2|1|0|0
270,0356|1|0|1|2|1|0|0
285,0404|1|0|1|2|1|0|0
300,0409|1|0|1|2|1|0|0
315,0438|1|0|1|2|1|0|0
330,0489|1|0|1|2|1|0|0
345,0535|1|0|1|2|1|0|0
360,0576|1|0|1|2|1|0|0
375,0623|1|0|1|2|1|0|0
390,0665|1|0|1|2|1|0|0
405,069|1|0|1|2|1|0|0
420,0706|1|2|2|2|1|0|0
435,072|1|2|2|2|1|0|0
450,0768|1|2|2|2|1|0|0
465,0792|1|2|2|2|1|0|0
480,0805|1|2|2|2|1|0|0
495,0811|1|2|2|2|1|0|0
510,0846|1|2|2|2|1|0|0
525,084|1|2|2|2|1|0|0
540,0851|1|2|2|2|1|0|0
555,0853|1|2|3|3|1|1|0
570,0862|1|2|3|3|1|1|0
585,0883|1|2|3|3|1|1|0
600,088|1|2|3|3|1|1|0
615,0895|1|2|3|4|1|1|0
630,091|1|2|3|5|1|1|0
645,0948|1|2|3|5|1|1|0
660,0966|1|2|3|5|1|1|0
675,0999|1|2|3|5|1|1|0
690,0994|1|2|3|5|1|1|0
705,1016|1|2|3|5|1|1|0
720,103|1|2|3|5|1|1|0
735,1056|1|2|3|5|1|1|0
750,105|1|2|3|5|1|1|0
765,1072|1|2|3|5|1|1|0
780,1089|1|2|3|5|1|1|0
795,1112|1|2|3|5|1|1|0
810,1146|1|2|3|5|1|1|0
825,1164|1|2|3|5|1|1|0
840,1174|1|4|4|5|1|1|0
855,1207|1|4|5|5|1|2|0
870,1247|1|4|5|5|1|2|0
885,1258|1|4|5|5|1|2|0
900,1304|1|4|5|5|1|2|0
915,1376|1|4|5|5|1|2|0
930,1395|1|4|5|5|1|2|0
945,1453|1|4|5|5|1|2|0
960,152|1|4|5|5|1|2|0
975,1555|1|4|5|5|1|2|0
990,1624|1|4|5|5|1|2|0
1005,169|1|4|5|5|1|2|0
1020,173|1|4|5|5|1|2|0
1035,173|1|4|5|5|1|2|0
1050,177|1|4|5|7|1|3|0
1065,184|1|4|5|7|1|3|0
1080,183|1|4|5|7|1|3|0
1095,189|1|4|5|7|1|3|0
1110,198|1|4|5|7|1|3|0
1125,199|1|5|6|7|2|3|0
1140,213|1|5|6|7|2|3|0
1155,229|1|5|6|7|2|3|0
1170,244|1|5|6|7|2|3|0
1185,256|1|8|6|7|2|3|0
1200,27|1|8|6|7|2|3|0
1215,275|1|8|6|7|2|3|0
1230,28|1|8|6|7|2|3|0
1245,297|1|8|6|7|2|3|0
1260,317|1|9|7|8|2|3|0
1275,333|1|9|7|8|2|3|0
1290,357|1|9|7|8|2|3|0
1305,389|1|9|7|8|2|3|0
1320,395|2|9|8|9|2|3|0
1335,411|2|9|8|9|2|3|0
1350,451|2|9|8|10|2|5|0
1365,494|2|9|8|10|2|5|0
1380,54|3|9|8|10|2|6|0
1395,58|3|9|8|10|2|6|0
1410,635|3|9|8|10|2|6|0
1425,661|3|9|8|10|2|6|0
1440,671|3|9|8|10|2|6|0
1455,72|3|9|10|11|2|6|0
1470,788|3|9|10|11|2|6|0
