sep=|
Time|Attractiveness|Individuals|Males
15,00039|0,6479688|7|3
30,00291|0,6479688|7|3
45,00308|0,6479688|7|3
60,00624|0,6479688|7|3
75,00979|0,6479688|7|3
90,01453|0,6479688|7|3
105,0149|0,6479688|7|3
120,0167|0,6479688|7|3
135,0181|0,6479688|7|3
150,0184|0,6479688|7|3
165,0213|0,6479688|7|3
180,0218|0,6479688|7|3
195,0264|0,6479688|7|3
210,0273|0,6786751|12|6
225,028|0,6786751|12|6
240,03|0,6786751|12|6
255,033|0,6786751|12|6
270,0356|0,6786751|12|6
285,0404|0,6786751|12|6
300,0409|0,6786751|12|6
315,0438|0,6786751|12|6
330,0489|0,6786751|12|6
345,0535|0,6786751|12|6
360,0576|0,6786751|12|6
375,0623|0,6786751|12|6
390,0665|0,6786751|12|6
405,069|0,6786751|11|6
420,0706|0,6786751|14|6
435,072|0,6786751|14|6
450,0768|0,6786751|14|6
465,0792|0,6786751|14|6
480,0805|0,6786751|14|6
495,0811|0,6786751|14|6
510,0846|0,6786751|14|6
525,084|0,6397886|12|5
540,0851|0,6160947|9|4
555,0853|0,658194|9|4
570,0862|0,7041013|7|3
585,0883|0,7041013|6|3
600,088|0,7041013|6|3
615,0895|0,7041013|7|3
630,091|0,711717|8|4
645,0948|0,711717|8|4
660,0966|0,711717|8|4
675,0999|0,711717|7|4
690,0994|0,7193329|6|3
705,1016|0,7193329|6|3
720,103|0,7193329|6|3
735,1056|0,7193329|6|3
750,105|0,7193329|6|3
765,1072|0,7193329|6|3
780,1089|0,7193329|6|3
795,1112|0,7193329|6|3
810,1146|0,7193329|6|3
825,1164|0,7193329|6|3
840,1174|0,7193329|9|3
855,1207|0,711717|11|4
870,1247|0,711717|11|4
885,1258|0,711717|11|4
900,1304|0,711717|11|4
915,1376|0,711717|11|4
930,1395|0,711717|11|4
945,1453|0,711717|11|4
960,152|0,711717|11|4
975,1555|0,711717|11|4
990,1624|0,711717|11|4
1005,169|0,711717|11|4
1020,173|0,711717|11|4
1035,173|0,711717|11|4
1050,177|0,7162865|14|5
1065,184|0,7162865|14|5
1080,183|0,7162865|13|5
1095,189|0,7162865|13|5
1110,198|0,7162865|13|5
1125,199|0,7215087|16|7
1140,213|0,7215087|16|7
1155,229|0,7215087|16|7
1170,244|0,7215087|16|7
1185,256|0,739498|19|10
1200,27|0,739498|19|10
1215,275|0,739498|19|10
1230,28|0,739498|19|10
1245,297|0,739498|19|10
1260,317|0,7419485|22|12
1275,333|0,7419485|22|12
1290,357|0,7419485|22|12
1305,389|0,7419485|22|12
1320,395|0,7413806|25|13
1335,411|0,7413806|25|13
1350,451|0,7408937|28|14
1365,494|0,7408937|28|14
1380,54|0,7343907|30|16
1395,58|0,7343907|30|16
1410,635|0,7343907|30|16
1425,661|0,7343907|30|16
1440,671|0,7343907|30|16
1455,72|0,73441|33|18
1470,788|0,73441|33|18
1485,846|0,73441|33|18
1500,928|0,73441|33|18
1515,946|0,7320132|36|19
1530,947|0,7322562|38|21
1546,002|0,7323611|40|22
1561,082|0,7323611|40|22
1576,096|0,7385754|43|23
1591,131|0,7384083|44|24
1606,192|0,7431937|47|25
1621,237|0,7431937|47|25
1636,293|0,7413659|48|25
1651,35|0,7404078|55|28
1666,382|0,7400182|60|30
1681,5|0,7400182|60|30
1696,596|0,7400182|60|30
1711,64|0,7398422|62|31
1726,667|0,7398422|62|31
1741,67|0,7396773|66|32
1756,791|0,7393765|68|34
1771,793|0,7381376|67|33
1786,882|0,7381376|67|33
1801,987|0,7381376|69|33
1817,097|0,7486598|76|36
1832,17|0,745513|78|38
1847,287|0,7447119|82|41
1862,384|0,7447119|84|41
1877,497|0,7447119|83|41
1892,52|0,7416297|84|42
1907,615|0,7404027|85|43
1922,622|0,7404027|86|43
1937,775|0,7461405|91|46
1952,863|0,7457144|102|51
1968,025|0,7426946|103|53
1983,109|0,7434101|105|54
1998,177|0,7432492|107|55
2013,351|0,7423981|112|55
2028,361|0,7423981|112|55
2043,38|0,7388494|115|54
2058,531|0,7443002|127|61
2073,532|0,7432659|131|63
2088,566|0,7432659|131|63
2103,578|0,7435431|138|69
2118,695|0,742976|144|72
2133,849|0,7422348|147|73
2149,033|0,7407487|152|75
2164,239|0,7399946|162|77
2179,417|0,7393392|167|78
2194,482|0,7393392|166|78
2209,631|0,7410601|173|79
2224,847|0,7418223|171|77
2239,921|0,7439238|177|81
2254,948|0,7421617|182|83
2270,108|0,7402004|187|85
2285,23|0,7419699|194|89
2300,371|0,7389558|198|92
2315,425|0,7346967|204|94
2330,435|0,7326261|211|100
2345,484|0,7335585|223|110
2360,512|0,7335675|228|111
2375,667|0,7348282|234|114
2390,685|0,7354609|240|118
2405,718|0,7336045|245|120
2420,904|0,735314|243|120
2436,033|0,7357132|245|119
2451,204|0,7342682|256|124
2466,239|0,737504|265|131
2481,403|0,7390127|269|135
2496,594|0,7392552|276|139
2511,728|0,7402391|287|145
2526,886|0,7427533|298|150
2541,892|0,7431|301|151
