sep=|
Time|GestationTime|Individuals|Females
15,00039|1,18902|7|4
30,00291|1,18902|7|4
45,00308|1,18902|7|4
60,00624|1,18902|7|4
75,00979|1,18902|7|4
90,01453|1,18902|7|4
105,0149|1,18902|7|4
120,0167|1,18902|7|4
135,0181|1,18902|7|4
150,0184|1,18902|7|4
165,0213|1,18902|7|4
180,0218|1,18902|7|4
195,0264|1,18902|7|4
210,0273|1,223986|12|6
225,028|1,223986|12|6
240,03|1,223986|12|6
255,033|1,223986|12|6
270,0356|1,223986|12|6
285,0404|1,223986|12|6
300,0409|1,223986|12|6
315,0438|1,223986|12|6
330,0489|1,223986|12|6
345,0535|1,223986|12|6
360,0576|1,223986|12|6
375,0623|1,223986|12|6
390,0665|1,223986|12|6
405,069|1,219551|11|5
420,0706|1,229858|14|8
435,072|1,229858|14|8
450,0768|1,229858|14|8
465,0792|1,229858|14|8
480,0805|1,229858|14|8
495,0811|1,229858|14|8
510,0846|1,229858|14|8
525,084|1,214112|12|7
540,0851|1,21807|9|5
555,0853|1,19321|9|5
570,0862|1,123606|7|4
585,0883|1,135782|6|3
600,088|1,135782|6|3
615,0895|1,103911|7|4
630,091|1,118453|8|4
645,0948|1,118453|8|4
660,0966|1,118453|8|4
675,0999|1,144097|7|3
690,0994|1,07849|6|3
705,1016|1,07849|6|3
720,103|1,07849|6|3
735,1056|1,07849|6|3
750,105|1,07849|6|3
765,1072|1,07849|6|3
780,1089|1,07849|6|3
795,1112|1,07849|6|3
810,1146|1,07849|6|3
825,1164|1,07849|6|3
840,1174|1,023223|9|6
855,1207|1,049114|11|7
870,1247|1,049114|11|7
885,1258|1,049114|11|7
900,1304|1,049114|11|7
915,1376|1,049114|11|7
930,1395|1,049114|11|7
945,1453|1,049114|11|7
960,152|1,049114|11|7
975,1555|1,049114|11|7
990,1624|1,049114|11|7
1005,169|1,049114|11|7
1020,173|1,049114|11|7
1035,173|1,049114|11|7
1050,177|1,050159|14|9
1065,184|1,050159|14|9
1080,183|1,060734|13|8
1095,189|1,060734|13|8
1110,198|1,060734|13|8
1125,199|1,070627|16|9
1140,213|1,070627|16|9
1155,229|1,070627|16|9
1170,244|1,070627|16|9
1185,256|1,086711|19|9
1200,27|1,086711|19|9
1215,275|1,086711|19|9
1230,28|1,086711|19|9
1245,297|1,086711|19|9
1260,317|1,089639|22|10
1275,333|1,089639|22|10
1290,357|1,089639|22|10
1305,389|1,089639|22|10
1320,395|1,080708|25|12
1335,411|1,080708|25|12
1350,451|1,093272|28|14
1365,494|1,093272|28|14
1380,54|1,090148|30|14
1395,58|1,090148|30|14
1410,635|1,090148|30|14
1425,661|1,090148|30|14
1440,671|1,090148|30|14
1455,72|1,092655|33|15
1470,788|1,092655|33|15
1485,846|1,092655|33|15
1500,928|1,092655|33|15
1515,946|1,088841|36|17
1530,947|1,094633|38|17
1546,002|1,093224|40|18
1561,082|1,093224|40|18
1576,096|1,082031|43|20
1591,131|1,081963|44|20
1606,192|1,079954|47|22
1621,237|1,079954|47|22
1636,293|1,073752|48|23
1651,35|1,069842|55|27
1666,382|1,08387|60|30
1681,5|1,08387|60|30
1696,596|1,08387|60|30
1711,64|1,086371|62|31
1726,667|1,086371|62|31
1741,67|1,080505|66|34
1756,791|1,085655|68|34
1771,793|1,079214|67|34
1786,882|1,079214|67|34
1801,987|1,07989|69|36
1817,097|1,080326|76|40
1832,17|1,083584|78|40
1847,287|1,0865|82|41
1862,384|1,082361|84|43
1877,497|1,083004|83|42
1892,52|1,081979|84|42
1907,615|1,0809|85|42
1922,622|1,084736|86|43
1937,775|1,087795|91|45
1952,863|1,08379|102|51
1968,025|1,084808|103|50
1983,109|1,080947|105|51
1998,177|1,084828|107|52
2013,351|1,08412|112|57
2028,361|1,08412|112|57
2043,38|1,075285|115|61
2058,531|1,077511|127|66
2073,532|1,080462|131|68
2088,566|1,080462|131|68
2103,578|1,085899|138|69
2118,695|1,082651|144|72
2133,849|1,082736|147|74
2149,033|1,080823|152|77
2164,239|1,075541|162|85
2179,417|1,073255|167|89
2194,482|1,070974|166|88
2209,631|1,073118|173|94
2224,847|1,072626|171|94
2239,921|1,073519|177|96
2254,948|1,073747|182|99
2270,108|1,067933|187|102
2285,23|1,068833|194|105
2300,371|1,070368|198|106
2315,425|1,074795|204|110
2330,435|1,076331|211|111
2345,484|1,080658|223|113
2360,512|1,082339|228|117
2375,667|1,081266|234|120
2390,685|1,08319|240|122
2405,718|1,085081|245|125
2420,904|1,085091|243|123
2436,033|1,082712|245|126
2451,204|1,075791|256|132
2466,239|1,076244|265|134
2481,403|1,080093|269|134
2496,594|1,079302|276|137
2511,728|1,0782|287|142
2526,886|1,078185|298|148
2541,892|1,078946|301|150
