sep=|
Time|Sight|Individuals|Females|Males
15,00039|4,242041|7|4|3
30,00291|4,242041|7|4|3
45,00308|4,242041|7|4|3
60,00624|4,242041|7|4|3
75,00979|4,242041|7|4|3
90,01453|4,242041|7|4|3
105,0149|4,242041|7|4|3
120,0167|4,242041|7|4|3
135,0181|4,242041|7|4|3
150,0184|4,242041|7|4|3
165,0213|4,242041|7|4|3
180,0218|4,242041|7|4|3
195,0264|4,242041|7|4|3
210,0273|4,36405|12|6|6
225,028|4,36405|12|6|6
240,03|4,36405|12|6|6
255,033|4,36405|12|6|6
270,0356|4,36405|12|6|6
285,0404|4,36405|12|6|6
300,0409|4,36405|12|6|6
315,0438|4,36405|12|6|6
330,0489|4,36405|12|6|6
345,0535|4,36405|12|6|6
360,0576|4,36405|12|6|6
375,0623|4,36405|12|6|6
390,0665|4,36405|12|6|6
405,069|4,443033|11|5|6
420,0706|4,474697|14|8|6
435,072|4,474697|14|8|6
450,0768|4,474697|14|8|6
465,0792|4,474697|14|8|6
480,0805|4,474697|14|8|6
495,0811|4,474697|14|8|6
510,0846|4,474697|14|8|6
525,084|4,444571|12|7|5
540,0851|4,312898|9|5|4
555,0853|4,202305|9|5|4
570,0862|4,296562|7|4|3
585,0883|4,200618|6|3|3
600,088|4,200618|6|3|3
615,0895|4,293156|7|4|3
630,091|4,353302|8|4|4
645,0948|4,353302|8|4|4
660,0966|4,353302|8|4|4
675,0999|4,444221|7|3|4
690,0994|4,628564|6|3|3
705,1016|4,628564|6|3|3
720,103|4,628564|6|3|3
735,1056|4,628564|6|3|3
750,105|4,628564|6|3|3
765,1072|4,628564|6|3|3
780,1089|4,628564|6|3|3
795,1112|4,628564|6|3|3
810,1146|4,628564|6|3|3
825,1164|4,628564|6|3|3
840,1174|4,59036|9|6|3
855,1207|4,586053|11|7|4
870,1247|4,586053|11|7|4
885,1258|4,586053|11|7|4
900,1304|4,586053|11|7|4
915,1376|4,586053|11|7|4
930,1395|4,586053|11|7|4
945,1453|4,586053|11|7|4
960,152|4,586053|11|7|4
975,1555|4,586053|11|7|4
990,1624|4,586053|11|7|4
1005,169|4,586053|11|7|4
1020,173|4,586053|11|7|4
1035,173|4,586053|11|7|4
1050,177|4,584087|14|9|5
1065,184|4,584087|14|9|5
1080,183|4,563756|13|8|5
1095,189|4,563756|13|8|5
1110,198|4,563756|13|8|5
1125,199|4,607866|16|9|7
1140,213|4,607866|16|9|7
1155,229|4,607866|16|9|7
1170,244|4,607866|16|9|7
1185,256|4,612291|19|9|10
1200,27|4,612291|19|9|10
1215,275|4,612291|19|9|10
1230,28|4,612291|19|9|10
1245,297|4,612291|19|9|10
1260,317|4,540471|22|10|12
1275,333|4,540471|22|10|12
1290,357|4,540471|22|10|12
1305,389|4,540471|22|10|12
1320,395|4,541407|25|12|13
1335,411|4,541407|25|12|13
1350,451|4,566362|28|14|14
1365,494|4,566362|28|14|14
1380,54|4,602702|30|14|16
1395,58|4,602702|30|14|16
1410,635|4,602702|30|14|16
1425,661|4,602702|30|14|16
1440,671|4,602702|30|14|16
1455,72|4,587893|33|15|18
1470,788|4,587893|33|15|18
1485,846|4,587893|33|15|18
1500,928|4,587893|33|15|18
1515,946|4,568885|36|17|19
1530,947|4,579698|38|17|21
1546,002|4,60664|40|18|22
1561,082|4,60664|40|18|22
1576,096|4,58252|43|20|23
1591,131|4,575181|44|20|24
1606,192|4,607234|47|22|25
1621,237|4,607234|47|22|25
1636,293|4,564116|48|23|25
1651,35|4,527117|55|27|28
1666,382|4,523035|60|30|30
1681,5|4,523035|60|30|30
1696,596|4,523035|60|30|30
1711,64|4,541817|62|31|31
1726,667|4,541817|62|31|31
1741,67|4,558153|66|34|32
1756,791|4,566689|68|34|34
1771,793|4,564724|67|34|33
1786,882|4,564724|67|34|33
1801,987|4,564781|69|36|33
1817,097|4,545473|76|40|36
1832,17|4,55324|78|40|38
1847,287|4,54242|82|41|41
1862,384|4,542997|84|43|41
1877,497|4,549132|83|42|41
1892,52|4,55331|84|42|42
1907,615|4,556781|85|42|43
1922,622|4,554482|86|43|43
1937,775|4,524673|91|45|46
1952,863|4,520593|102|51|51
1968,025|4,530282|103|50|53
1983,109|4,537763|105|51|54
1998,177|4,554557|107|52|55
2013,351|4,576424|112|57|55
2028,361|4,576424|112|57|55
2043,38|4,567152|115|61|54
2058,531|4,543694|127|66|61
2073,532|4,546442|131|68|63
2088,566|4,546442|131|68|63
2103,578|4,559813|138|69|69
2118,695|4,555536|144|72|72
2133,849|4,575969|147|74|73
2149,033|4,579369|152|77|75
2164,239|4,577711|162|85|77
2179,417|4,600299|167|89|78
2194,482|4,603712|166|88|78
2209,631|4,595404|173|94|79
2224,847|4,603986|171|94|77
2239,921|4,595969|177|96|81
2254,948|4,603224|182|99|83
2270,108|4,619599|187|102|85
2285,23|4,626159|194|105|89
2300,371|4,621431|198|106|92
2315,425|4,616409|204|110|94
2330,435|4,599188|211|111|100
2345,484|4,585207|223|113|110
2360,512|4,587898|228|117|111
2375,667|4,596535|234|120|114
2390,685|4,587986|240|122|118
2405,718|4,596039|245|125|120
2420,904|4,598073|243|123|120
2436,033|4,598468|245|126|119
2451,204|4,59686|256|132|124
2466,239|4,612135|265|134|131
2481,403|4,589805|269|134|135
2496,594|4,594009|276|137|139
2511,728|4,591583|287|142|145
2526,886|4,604924|298|148|150
2541,892|4,612047|301|150|151
