sep=|
Time|Thirst|Individuals|Females|Males
15,00039|1,18902|7|4|3
30,00291|1,18902|7|4|3
45,00308|1,18902|7|4|3
60,00624|1,18902|7|4|3
75,00979|1,18902|7|4|3
90,01453|1,18902|7|4|3
105,0149|1,18902|7|4|3
120,0167|1,18902|7|4|3
135,0181|1,18902|7|4|3
150,0184|1,18902|7|4|3
165,0213|1,18902|7|4|3
180,0218|1,18902|7|4|3
195,0264|1,18902|7|4|3
210,0273|1,223986|12|6|6
225,028|1,223986|12|6|6
240,03|1,223986|12|6|6
255,033|1,223986|12|6|6
270,0356|1,223986|12|6|6
285,0404|1,223986|12|6|6
300,0409|1,223986|12|6|6
315,0438|1,223986|12|6|6
330,0489|1,223986|12|6|6
345,0535|1,223986|12|6|6
360,0576|1,223986|12|6|6
375,0623|1,223986|12|6|6
390,0665|1,223986|12|6|6
405,069|1,219551|11|5|6
420,0706|1,229858|14|8|6
435,072|1,229858|14|8|6
450,0768|1,229858|14|8|6
465,0792|1,229858|14|8|6
480,0805|1,229858|14|8|6
495,0811|1,229858|14|8|6
510,0846|1,229858|14|8|6
525,084|1,214112|12|7|5
540,0851|1,21807|9|5|4
555,0853|1,19321|9|5|4
570,0862|1,123606|7|4|3
585,0883|1,135782|6|3|3
600,088|1,135782|6|3|3
615,0895|1,103911|7|4|3
630,091|1,118453|8|4|4
645,0948|1,118453|8|4|4
660,0966|1,118453|8|4|4
675,0999|1,144097|7|3|4
690,0994|1,07849|6|3|3
705,1016|1,07849|6|3|3
720,103|1,07849|6|3|3
735,1056|1,07849|6|3|3
750,105|1,07849|6|3|3
765,1072|1,07849|6|3|3
780,1089|1,07849|6|3|3
795,1112|1,07849|6|3|3
810,1146|1,07849|6|3|3
825,1164|1,07849|6|3|3
840,1174|1,023223|9|6|3
855,1207|1,049114|11|7|4
870,1247|1,049114|11|7|4
885,1258|1,049114|11|7|4
900,1304|1,049114|11|7|4
915,1376|1,049114|11|7|4
930,1395|1,049114|11|7|4
945,1453|1,049114|11|7|4
960,152|1,049114|11|7|4
975,1555|1,049114|11|7|4
990,1624|1,049114|11|7|4
1005,169|1,049114|11|7|4
1020,173|1,049114|11|7|4
1035,173|1,049114|11|7|4
1050,177|1,050159|14|9|5
1065,184|1,050159|14|9|5
1080,183|1,060734|13|8|5
1095,189|1,060734|13|8|5
1110,198|1,060734|13|8|5
1125,199|1,070627|16|9|7
1140,213|1,070627|16|9|7
1155,229|1,070627|16|9|7
1170,244|1,070627|16|9|7
1185,256|1,086711|19|9|10
1200,27|1,086711|19|9|10
1215,275|1,086711|19|9|10
1230,28|1,086711|19|9|10
1245,297|1,086711|19|9|10
1260,317|1,089639|22|10|12
1275,333|1,089639|22|10|12
1290,357|1,089639|22|10|12
1305,389|1,089639|22|10|12
1320,395|1,080708|25|12|13
1335,411|1,080708|25|12|13
1350,451|1,093272|28|14|14
1365,494|1,093272|28|14|14
1380,54|1,090148|30|14|16
1395,58|1,090148|30|14|16
1410,635|1,090148|30|14|16
1425,661|1,090148|30|14|16
1440,671|1,090148|30|14|16
1455,72|1,092655|33|15|18
1470,788|1,092655|33|15|18
1485,846|1,092655|33|15|18
1500,928|1,092655|33|15|18
1515,946|1,088841|36|17|19
1530,947|1,094633|38|17|21
1546,002|1,093224|40|18|22
1561,082|1,093224|40|18|22
1576,096|1,082031|43|20|23
1591,131|1,081963|44|20|24
1606,192|1,079954|47|22|25
1621,237|1,079954|47|22|25
1636,293|1,073752|48|23|25
1651,35|1,069842|55|27|28
1666,382|1,08387|60|30|30
1681,5|1,08387|60|30|30
1696,596|1,08387|60|30|30
1711,64|1,086371|62|31|31
1726,667|1,086371|62|31|31
1741,67|1,080505|66|34|32
1756,791|1,085655|68|34|34
1771,793|1,079214|67|34|33
1786,882|1,079214|67|34|33
1801,987|1,07989|69|36|33
1817,097|1,080326|76|40|36
1832,17|1,083584|78|40|38
1847,287|1,0865|82|41|41
1862,384|1,082361|84|43|41
1877,497|1,083004|83|42|41
1892,52|1,081979|84|42|42
1907,615|1,0809|85|42|43
1922,622|1,084736|86|43|43
1937,775|1,087795|91|45|46
1952,863|1,08379|102|51|51
1968,025|1,084808|103|50|53
1983,109|1,080947|105|51|54
1998,177|1,084828|107|52|55
2013,351|1,08412|112|57|55
2028,361|1,08412|112|57|55
2043,38|1,075285|115|61|54
2058,531|1,077511|127|66|61
2073,532|1,080462|131|68|63
2088,566|1,080462|131|68|63
2103,578|1,085899|138|69|69
2118,695|1,082651|144|72|72
2133,849|1,082736|147|74|73
2149,033|1,080823|152|77|75
2164,239|1,075541|162|85|77
2179,417|1,073255|167|89|78
2194,482|1,070974|166|88|78
2209,631|1,073118|173|94|79
2224,847|1,072626|171|94|77
2239,921|1,073519|177|96|81
2254,948|1,073747|182|99|83
2270,108|1,067933|187|102|85
2285,23|1,068833|194|105|89
2300,371|1,070368|198|106|92
2315,425|1,074795|204|110|94
2330,435|1,076331|211|111|100
2345,484|1,080658|223|113|110
2360,512|1,082339|228|117|111
2375,667|1,081266|234|120|114
2390,685|1,08319|240|122|118
2405,718|1,085081|245|125|120
2420,904|1,085091|243|123|120
2436,033|1,082712|245|126|119
2451,204|1,075791|256|132|124
2466,239|1,076244|265|134|131
2481,403|1,080093|269|134|135
2496,594|1,079302|276|137|139
2511,728|1,0782|287|142|145
2526,886|1,078185|298|148|150
2541,892|1,078946|301|150|151
